"","year","state","y"
"1",1997,"Alabama",324158
"2",1998,"Alabama",329134
"3",1999,"Alabama",337270
"4",2000,"Alabama",353614
"5",2001,"Alabama",332693
"6",2002,"Alabama",379343
"7",2003,"Alabama",350345
"8",2004,"Alabama",382367
"9",2005,"Alabama",353156
"10",2006,"Alabama",391093
"11",2007,"Alabama",418512
"12",2008,"Alabama",404157
"13",2009,"Alabama",454456
"14",2010,"Alabama",534779
"15",2011,"Alabama",598514
"16",2012,"Alabama",666712
"17",2013,"Alabama",615407
"18",2014,"Alabama",635323
"19",2015,"Alabama",681149
"20",2016,"Alabama",694881
"21",2017,"Alabama",661366
"22",2018,"Alabama",750188
"23",2019,"Alabama",729402
"24",1997,"Alaska",425393
"25",1998,"Alaska",434871
"26",1999,"Alaska",422816
"27",2000,"Alaska",427288
"28",2001,"Alaska",408960
"29",2002,"Alaska",419131
"30",2003,"Alaska",414234
"31",2004,"Alaska",406319
"32",2005,"Alaska",432972
"33",2006,"Alaska",373850
"34",2007,"Alaska",369967
"35",2008,"Alaska",341888
"36",2009,"Alaska",342261
"37",2010,"Alaska",333312
"38",2011,"Alaska",335458
"39",2012,"Alaska",343110
"40",2013,"Alaska",332298
"41",2014,"Alaska",328945
"42",2015,"Alaska",333602
"43",2016,"Alaska",330552
"44",2017,"Alaska",347725
"45",2018,"Alaska",355132
"46",2019,"Alaska",366476
"47",1997,"Arizona",134706
"48",1998,"Arizona",158355
"49",1999,"Arizona",165076
"50",2000,"Arizona",205235
"51",2001,"Arizona",240812
"52",2002,"Arizona",250734
"53",2003,"Arizona",272921
"54",2004,"Arizona",349622
"55",2005,"Arizona",321584
"56",2006,"Arizona",358069
"57",2007,"Arizona",392954
"58",2008,"Arizona",399188
"59",2009,"Arizona",369739
"60",2010,"Arizona",330914
"61",2011,"Arizona",288802
"62",2012,"Arizona",332068
"63",2013,"Arizona",332073
"64",2014,"Arizona",306715
"65",2015,"Arizona",351263
"66",2016,"Arizona",360576
"67",2017,"Arizona",321451
"68",2018,"Arizona",384753
"69",2019,"Arizona",468482
"70",1997,"Arkansas",260113
"71",1998,"Arkansas",266485
"72",1999,"Arkansas",252853
"73",2000,"Arkansas",251329
"74",2001,"Arkansas",227943
"75",2002,"Arkansas",242325
"76",2003,"Arkansas",246916
"77",2004,"Arkansas",215124
"78",2005,"Arkansas",213609
"79",2006,"Arkansas",233868
"80",2007,"Arkansas",226439
"81",2008,"Arkansas",234901
"82",2009,"Arkansas",244193
"83",2010,"Arkansas",271515
"84",2011,"Arkansas",284076
"85",2012,"Arkansas",296132
"86",2013,"Arkansas",282120
"87",2014,"Arkansas",268444
"88",2015,"Arkansas",291006
"89",2016,"Arkansas",309732
"90",2017,"Arkansas",311609
"91",2018,"Arkansas",360804
"92",2019,"Arkansas",360024
"93",1997,"California",2146211
